"","PriorSalesKey","PriorSales"
"156","156April2013",165704
"157","157April2013",230730
"158","158April2013",185069
"159","159April2013",186524
"160","160April2013",133651
"161","161April2013",175173
"162","162April2013",178081
"163","163April2013",207422
"164","164April2013",147584
"165","165April2013",99585
"166","166April2013",132266
"167","167April2013",200694
"168","168April2013",177749
"169","169April2013",188027
"170","170April2013",135320
"171","171April2013",206402
"172","172April2013",160014
"173","173April2013",214510
"174","174April2013",135698
"175","175April2013",140497
"176","176April2013",129837
"177","177April2013",101550
"178","178April2013",229099
"179","179April2013",166260
"180","180April2013",178743
"181","181April2013",157463
"182","182April2013",112485
"183","183April2013",108464
"184","184April2013",159972
"185","185April2013",170189
"186","186April2013",91010
"187","187April2013",147045
"188","188April2013",114428
"189","189April2013",217658
"190","190April2013",169662
"191","191April2013",190566
"192","192April2013",163730
"193","193April2013",129725
"194","194April2013",109320
"195","195April2013",253011
"196","196April2013",124573
"197","197April2013",171803
"198","198April2013",71702
"199","199April2013",171510
"200","200April2013",192534
"201","201April2013",120710
"202","202April2013",125455
"203","203April2013",143119
"204","204April2013",129595
"205","205April2013",173366
"206","206April2013",156072
"207","207April2013",276691
"208","208April2013",74741
"209","209April2013",136754
"210","210April2013",74760
"211","211April2013",317093
"212","212April2013",114069
"213","213April2013",168845
"214","214April2013",224900
"215","215April2013",152129
"216","216April2013",176349
"217","217April2013",109630
"218","218April2013",122749
"219","219April2013",77306
"220","220April2013",122194
"221","221April2013",128543
"222","222April2013",123918
"223","223April2013",163668
"224","224April2013",131336
"225","225April2013",116731
"226","226April2013",206255
"227","227April2013",136589
"228","228April2013",183323
"229","229April2013",196255
"230","230April2013",168743
"231","231April2013",109645
"232","232April2013",65360
"233","233April2013",227006
"234","234April2013",266997
"235","235April2013",144445
"236","236April2013",171433
"237","237April2013",113343
"238","238April2013",188847
"239","239April2013",109756
"240","240April2013",119317
"241","241April2013",152086
"242","242April2013",102870
"243","243April2013",174862
"244","244April2013",124618
"245","245April2013",200777
"246","246April2013",176176
"247","247April2013",202479
"248","248April2013",191843
"249","249April2013",117261
"250","250April2013",189695
"251","251April2013",464363
"252","252April2013",265858
"253","253April2013",134636
"254","254April2013",68384
"255","255April2013",146960
"256","256April2013",248588
"257","257April2013",150281
"258","258April2013",126043
"259","259April2013",309521
"260","260April2013",164390
"261","261April2013",299999
"262","262April2013",610222
"263","263April2013",78454
"264","264April2013",197968
"265","265April2013",115008
"266","266April2013",122003
"267","267April2013",214385
"268","268April2013",118614
"269","269April2013",226387
"270","270April2013",226192
"271","271April2013",175208
"272","272April2013",149596
"273","273April2013",151795
"274","274April2013",102538
"275","275April2013",189720
"276","276April2013",95995
"277","277April2013",157586
"278","278April2013",164618
"279","279April2013",185466
"280","280April2013",148646
"281","281April2013",136742
"282","282April2013",110954
"283","283April2013",167747
"284","284April2013",134080
"285","285April2013",114424
"286","286April2013",122631
"287","287April2013",199661
"288","288April2013",127171
"289","289April2013",152888
"290","290April2013",169856
"291","291April2013",186976
"292","292April2013",140038
"293","293April2013",152084
"294","294April2013",132457
"295","295April2013",117304
"296","296April2013",168522
"297","297April2013",169505
"298","298April2013",191356
"299","299April2013",140218
"300","300April2013",154005
"301","301April2013",127600
"302","302April2013",85740
"303","303April2013",149634
"304","304April2013",170883
"305","305April2013",93415
"306","306April2013",109279
"307","307April2013",62592
"308","308April2013",246078
"309","309April2013",165784
"310","310April2013",220309
"311","311April2013",154606
"312","312April2013",132416
"313","313April2013",165962
"314","314April2013",122497
"315","315April2013",96905
"316","316April2013",233289
"317","317April2013",128620
"318","318April2013",169162
"319","319April2013",183577
"320","320April2013",353978
"321","321April2013",137903
"322","322April2013",116827
"323","323April2013",169605
"324","324April2013",146062
"325","325April2013",165856
"326","326April2013",105911
"327","327April2013",173723
"328","328April2013",106290
"329","329April2013",162818
"330","330April2013",96269
"331","331April2013",164582
"332","332April2013",87443
"333","333April2013",239083
"334","334April2013",120143
"335","335April2013",382527
"336","336April2013",345435
"337","337April2013",125323
"338","338April2013",197701
"339","339April2013",116944
"340","340April2013",145658
"341","341April2013",128331
"342","342April2013",265525
"343","343April2013",161671
"344","344April2013",200020
"345","345April2013",109569
"346","346April2013",146384
"347","347April2013",100805
"348","348April2013",205816
"349","349April2013",174883
"350","350April2013",168521
"351","351April2013",140115
"352","352April2013",163933
"353","353April2013",138467
"354","354April2013",201255
"355","355April2013",219374
"356","356April2013",119770
"357","357April2013",182253
"358","358April2013",248385
"359","359April2013",161352
"360","360April2013",169952
"361","361April2013",147215
"362","362April2013",222849
"363","363April2013",177185
"364","364April2013",60856
"365","365April2013",133144
"366","366April2013",144124
"367","367April2013",122690
"368","368April2013",225884
"369","369April2013",171927
"370","370April2013",182666
"371","371April2013",162372
"372","372April2013",205170
"373","373April2013",95434
"374","374April2013",174396
"375","375April2013",209867
"376","376April2013",211390
"377","377April2013",167080
"378","378April2013",122041
"379","379April2013",97852
"380","380April2013",403392
"381","381April2013",218654
"382","382April2013",174682
"383","383April2013",427694
"384","384April2013",185158
"385","385April2013",176388
"386","386April2013",199907
"387","387April2013",200467
"388","388April2013",242512
"389","389April2013",240742
"390","390April2013",278946
"391","391April2013",134461
"392","392April2013",172829
"393","393April2013",141192
"394","394April2013",188632
"395","395April2013",96967
"396","396April2013",230255
"397","397April2013",114593
"398","398April2013",122732
"399","399April2013",126336
"400","400April2013",201632
"401","401April2013",158116
"402","402April2013",129857
"403","403April2013",182750
"404","404April2013",102015
"405","405April2013",113660
"406","406April2013",110425
"407","407April2013",93857
"408","408April2013",112360
"409","409April2013",128114
"410","410April2013",152694
"411","411April2013",210736
"412","412April2013",209856
"413","413April2013",172457
"414","414April2013",145826
"415","415April2013",138684
"416","416April2013",262318
"417","417April2013",198040
"418","418April2013",138587
"419","419April2013",129751
"420","420April2013",102592
"421","421April2013",238424
"422","422April2013",106846
"423","423April2013",315913
"424","424April2013",149042
"425","425April2013",74837
"426","426April2013",127159
"427","427April2013",178893
"428","428April2013",145576
"429","429April2013",125473
"430","430April2013",189671
"431","431April2013",214710
"432","432April2013",274267
"433","433April2013",141215
"434","434April2013",225335
"435","435April2013",84274
"436","436April2013",132100
"437","437April2013",161096
"438","438April2013",106923
"439","439April2013",179955
"440","440April2013",122288
"441","441April2013",139860
"442","442April2013",101808
"443","443April2013",123771
"444","444April2013",274886
"445","445April2013",205836
"446","446April2013",121891
"447","447April2013",128771
"448","448April2013",204168
"449","449April2013",284012
"450","450April2013",214474
"451","451April2013",130030
"452","452April2013",139892
"453","453April2013",185375
"454","454April2013",141432
"455","455April2013",144894
"456","456April2013",154718
"457","457April2013",99595
"458","458April2013",184982
"459","459April2013",219896
"460","460April2013",87311
"461","461April2013",140100
"462","462April2013",116909
"463","463April2013",153763
"464","464April2013",254172
"465","465April2013",173144
"466","466April2013",184905
"467","467April2013",322607
"468","468April2013",145873
"469","469April2013",306311
"470","470April2013",335564
"471","471April2013",169749
"472","472April2013",126483
"473","473April2013",89056
"474","474April2013",174626
"475","475April2013",159079
"476","476April2013",138661
"477","477April2013",148905
"478","478April2013",167424
"479","479April2013",262527
"480","480April2013",121368
"481","481April2013",99497
"482","482April2013",191243
"483","483April2013",117545
"484","484April2013",176729
"485","485April2013",104517
"486","486April2013",96961
"487","487April2013",156670
"488","488April2013",86831
"489","489April2013",169950
"490","490April2013",190683
"491","491April2013",142406
"492","492April2013",182312
"493","493April2013",181855
"494","494April2013",222882
"495","495April2013",119993
"496","496April2013",188046
"497","497April2013",217499
"498","498April2013",172129
"499","499April2013",115837
"500","500April2013",113719
"501","501April2013",130260
"502","502April2013",258871
"503","503April2013",143656
"504","504April2013",161690
"505","505April2013",116237
"506","506April2013",191298
"507","507April2013",196917
"508","508April2013",143777
"509","509April2013",147247
"510","510April2013",200541
"511","511April2013",136498
"512","512April2013",141728
"513","513April2013",486344
"514","514April2013",128506
"515","515April2013",210459
"516","516April2013",129214
"517","517April2013",132617
"518","518April2013",135738
"519","519April2013",124989
"520","520April2013",84686
"521","521April2013",115007
"522","522April2013",186541
"523","523April2013",461618
"524","524April2013",192904
"525","525April2013",254598
"526","526April2013",254237
"527","527April2013",250765
"528","528April2013",258538
"529","529April2013",171592
"530","530April2013",112603
"531","531April2013",112095
"532","532April2013",262387
"533","533April2013",207612
"534","534April2013",173858
"535","535April2013",204097
"536","536April2013",190601
"537","537April2013",120266
"538","538April2013",98393
"539","539April2013",288824
"540","540April2013",109003
"541","541April2013",143417
"542","542April2013",152566
"543","543April2013",72303
"544","544April2013",363321
"545","545April2013",247019
"546","546April2013",326080
"547","547April2013",128369
"548","548April2013",122997
"549","549April2013",113904
"550","550April2013",127318
"551","551April2013",152811
"552","552April2013",185135
"553","553April2013",156383
"554","554April2013",92548
"555","555April2013",129081
"556","556April2013",165450
"557","557April2013",110130
"558","558April2013",83426
"559","559April2013",144599
"560","560April2013",308837
"561","561April2013",171208
"562","562April2013",528838
"563","563April2013",137615
"564","564April2013",122595
"565","565April2013",150410
"566","566April2013",109973
"567","567April2013",129978
"568","568April2013",101721
"569","569April2013",117874
"570","570April2013",141919
"571","571April2013",177898
"572","572April2013",161920
"573","573April2013",97032
"574","574April2013",207624
"575","575April2013",127362
"576","576April2013",168480
"577","577April2013",120016
"578","578April2013",209307
"579","579April2013",204099
"580","580April2013",253334
"581","581April2013",136071
"582","582April2013",169589
"583","583April2013",100585
"584","584April2013",107609
"585","585April2013",153972
"586","586April2013",339855
"587","587April2013",204883
"588","588April2013",139679
"589","589April2013",0
"590","590April2013",108527
"591","591April2013",136792
"592","592April2013",111764
"593","593April2013",227368
"594","594April2013",103362
"595","595April2013",361439
"596","596April2013",109876
"597","597April2013",118553
"598","598April2013",154058
"599","599April2013",257007
"600","600April2013",157908
"601","601April2013",113175
"602","602April2013",146315
"603","603April2013",159971
"604","604April2013",190738
"605","605April2013",154577
"606","606April2013",150071
"607","607April2013",96160
"608","608April2013",210930
"609","609April2013",114742
"610","610April2013",104286
"611","611April2013",142669
"612","612April2013",159624
"613","613April2013",155270
"614","614April2013",158658
"615","615April2013",237470
"616","616April2013",205217
"617","617April2013",145552
"618","618April2013",150191
"619","619April2013",104253
"620","620April2013",172444
"621","621April2013",143690
"622","622April2013",100161
"623","623April2013",175978
"624","624April2013",167695
"625","625April2013",151151
"626","626April2013",216030
"627","627April2013",131433
"628","628April2013",150803
"629","629April2013",195628
"630","630April2013",161261
"631","631April2013",122457
"632","632April2013",165088
"633","633April2013",172829
"634","634April2013",147974
"635","635April2013",134943
"636","636April2013",139715
"637","637April2013",199464
"638","638April2013",141895
"639","639April2013",119862
"640","640April2013",265672
"641","641April2013",134593
"642","642April2013",88416
"643","643April2013",195672
"644","644April2013",208273
"645","645April2013",278033
"646","646April2013",119432
"647","647April2013",136270
"648","648April2013",161075
"649","649April2013",83240
"650","650April2013",158785
"651","651April2013",188827
"652","652April2013",150260
"653","653April2013",137880
"654","654April2013",149341
"655","655April2013",161292
"656","656April2013",78486
"657","657April2013",150890
"658","658April2013",149725
"659","659April2013",136437
"660","660April2013",108156
"661","661April2013",171503
"662","662April2013",209323
"663","663April2013",71283
"664","664April2013",105370
"665","665April2013",207213
"666","666April2013",158812
"667","667April2013",206015
"668","668April2013",215235
"669","669April2013",99100
"670","670April2013",163227
"671","671April2013",132623
"672","672April2013",210901
"673","673April2013",142566
"674","674April2013",190533
"675","675April2013",123639
"676","676April2013",188750
"677","677April2013",204760
"678","678April2013",159797
"679","679April2013",235576
"680","680April2013",125240
"681","681April2013",43045
"682","682April2013",331698
"683","683April2013",259254
"684","684April2013",158990
"685","685April2013",203565
"686","686April2013",148499
"687","687April2013",188165
"688","688April2013",83632
"689","689April2013",174321
"690","690April2013",128204
"691","691April2013",208898
"692","692April2013",170063
"693","693April2013",165372
"694","694April2013",194803
"695","695April2013",131067
"696","696April2013",175860
"697","697April2013",250773
"698","698April2013",369739
"699","699April2013",219088
"700","700April2013",64414
"701","701April2013",140240
"702","702April2013",113047
"703","703April2013",81665
"704","704April2013",241378
"705","705April2013",197784
"706","706April2013",134132
"707","707April2013",192475
"708","708April2013",60710
"709","709April2013",246645
"710","710April2013",103284
"711","711April2013",167628
"712","712April2013",158984
"713","713April2013",284492
"714","714April2013",90128
"715","715April2013",154897
"716","716April2013",134513
"717","717April2013",127015
"718","718April2013",193438
"719","719April2013",121089
"720","720April2013",180610
"721","721April2013",180896
"722","722April2013",247848
"723","723April2013",146046
"724","724April2013",152519
"725","725April2013",134230
"726","726April2013",246068
"727","727April2013",109469
"728","728April2013",122996
"729","729April2013",241449
"730","730April2013",234603
"731","731April2013",234960
"732","732April2013",135587
"733","733April2013",425028
"734","734April2013",150929
"735","735April2013",119802
"736","736April2013",119786
"737","737April2013",143705
"738","738April2013",194928
"739","739April2013",207119
"740","740April2013",164454
"741","741April2013",167541
"742","742April2013",188988
"743","743April2013",86862
"744","744April2013",178445
"745","745April2013",179191
"746","746April2013",124940
"747","747April2013",180559
"748","748April2013",140062
"749","749April2013",133483
"750","750April2013",115113
"751","751April2013",111231
"752","752April2013",118509
"753","753April2013",216749
"754","754April2013",200835
"755","755April2013",237382
"756","756April2013",379865
"757","757April2013",128777
"758","758April2013",117720
"759","759April2013",162873
"760","760April2013",185992
"761","761April2013",220593
"762","762April2013",82881
"763","763April2013",136664
"764","764April2013",91815
"765","765April2013",191732
"766","766April2013",134437
"767","767April2013",141106
"768","768April2013",303354
"769","769April2013",274135
"770","770April2013",163000
"771","771April2013",155143
"772","772April2013",72160
"773","773April2013",165164
"774","774April2013",132274
"775","775April2013",200658
"776","776April2013",116947
"777","777April2013",78126
"778","778April2013",146000
"779","779April2013",161578
"780","780April2013",154313
"781","781April2013",117654
"782","782April2013",118684
"783","783April2013",156113
"784","784April2013",178366
"785","785April2013",130586
"786","786April2013",92244
"787","787April2013",227814
"788","788April2013",429564
"789","789April2013",73391
"790","790April2013",172556
"791","791April2013",164317
"792","792April2013",187116
"793","793April2013",111944
"794","794April2013",70769
"795","795April2013",107250
"796","796April2013",161103
"797","797April2013",90616
"798","798April2013",178880
"799","799April2013",223016
"800","800April2013",141026
"801","801April2013",113416
"802","802April2013",164712
"803","803April2013",153695
"804","804April2013",112496
"805","805April2013",167359
"806","806April2013",163630
"807","807April2013",236031
"808","808April2013",173060
"809","809April2013",224471
"810","810April2013",138618
"811","811April2013",102138
"812","812April2013",155382
"813","813April2013",142401
"814","814April2013",194536
"815","815April2013",234754
"816","816April2013",150262
"817","817April2013",606697
"818","818April2013",132630
"819","819April2013",145338
"820","820April2013",291847
"821","821April2013",178585
"822","822April2013",183717
"823","823April2013",127728
"824","824April2013",124648
"825","825April2013",113728
"826","826April2013",206155
"827","827April2013",269965
"828","828April2013",119728
"829","829April2013",147893
"830","830April2013",138895
"831","831April2013",311224
"832","832April2013",165490
"833","833April2013",129599
"834","834April2013",146441
"835","835April2013",118226
"836","836April2013",142608
"837","837April2013",57727
"838","838April2013",177506
"839","839April2013",134412
"840","840April2013",185166
"841","841April2013",73277
"842","842April2013",408854
"843","843April2013",242817
"844","844April2013",106634
"845","845April2013",113507
"846","846April2013",215210
"847","847April2013",169907
"848","848April2013",146543
"849","849April2013",191874
"850","850April2013",139418
"851","851April2013",117057
"852","852April2013",111505
"853","853April2013",213416
"854","854April2013",161538
"855","855April2013",138189
"856","856April2013",187913
"857","857April2013",170261
"858","858April2013",114628
"859","859April2013",172947
"860","860April2013",124356
"861","861April2013",80191
"862","862April2013",208741
"863","863April2013",204806
"864","864April2013",108290
"865","865April2013",170042
"866","866April2013",158131
"867","867April2013",107330
"868","868April2013",245513
"869","869April2013",137592
"870","870April2013",170186
"871","871April2013",123964
"872","872April2013",211001
"873","873April2013",91631
"874","874April2013",111501
"875","875April2013",120837
"876","876April2013",212235
"877","877April2013",148683
"878","878April2013",195825
"879","879April2013",90644
"880","880April2013",169333
"881","881April2013",99703
"882","882April2013",190228
"883","883April2013",119487
"884","884April2013",114772
"885","885April2013",112751
"886","886April2013",149544
"887","887April2013",167052
"888","888April2013",177807
"889","889April2013",96552
"890","890April2013",131754
"891","891April2013",195015
"892","892April2013",178444
"893","893April2013",155589
"894","894April2013",207656
"895","895April2013",218447
"896","896April2013",160082
"897","897April2013",85910
"898","898April2013",157897
"899","899April2013",129291
"900","900April2013",137931
"901","901April2013",176123
"902","902April2013",119114
"903","903April2013",267658
"904","904April2013",152097
"905","905April2013",263436
"906","906April2013",282470
"907","907April2013",135610
"908","908April2013",106741
"909","909April2013",256381
"910","910April2013",129222
"911","911April2013",229471
"912","912April2013",135322
"913","913April2013",242315
"914","914April2013",228422
"915","915April2013",145149
"916","916April2013",131855
"917","917April2013",165272
"918","918April2013",118190
"919","919April2013",138728
"920","920April2013",131272
"921","921April2013",257733
"922","922April2013",174345
"923","923April2013",130922
"924","924April2013",115093
"925","925April2013",151639
"926","926April2013",167796
"927","927April2013",160459
"928","928April2013",183926
"929","929April2013",139149
"930","930April2013",178683
"931","931April2013",86441
"932","932April2013",175537
"933","933April2013",166344
"934","934April2013",163539
"935","935April2013",126769
"936","936April2013",192825
"937","937April2013",170856
"938","938April2013",229774
"939","939April2013",141161
"940","940April2013",147939
"941","941April2013",115735
"942","942April2013",139556
"943","943April2013",157698
"944","944April2013",188688
"945","945April2013",101163
"946","946April2013",110198
"947","947April2013",217320
"948","948April2013",85942
"949","949April2013",132455
"950","950April2013",142906
"951","951April2013",175830
"952","952April2013",152368
"953","953April2013",120177
"954","954April2013",169315
"955","955April2013",89822
"956","956April2013",101213
"957","957April2013",187351
"958","958April2013",122923
"959","959April2013",180534
"960","960April2013",154352
"961","961April2013",150246
"962","962April2013",159748
"963","963April2013",250132
"964","964April2013",241540
"965","965April2013",193142
"966","966April2013",119094
"967","967April2013",246410
"968","968April2013",165252
"969","969April2013",75741
"970","970April2013",83481
"971","971April2013",184588
"972","972April2013",82157
"973","973April2013",123939
"974","974April2013",270393
"975","975April2013",190919
"976","976April2013",169019
"977","977April2013",124007
"978","978April2013",156343
"979","979April2013",141734
"980","980April2013",176314
"981","981April2013",169290
"982","982April2013",182222
"983","983April2013",283266
"984","984April2013",140205
"985","985April2013",199811
"986","986April2013",189404
"987","987April2013",173214
"988","988April2013",116159
"989","989April2013",125276
"990","990April2013",145244
"991","991April2013",136174
"992","992April2013",145102
"993","993April2013",184164
"994","994April2013",108256
"995","995April2013",204351
"996","996April2013",140339
"997","997April2013",123645
"998","998April2013",105980
"999","999April2013",208358
"1000","1000April2013",206856
"1001","1001April2013",123868
"1002","1002April2013",131901
"1003","1003April2013",213210
"1004","1004April2013",117222
"1005","1005April2013",155884
"1006","1006April2013",139457
"1007","1007April2013",156813
"1008","1008April2013",126150
"1009","1009April2013",108707
"1010","1010April2013",193479
"1011","1011April2013",189619
"1012","1012April2013",141584
"1013","1013April2013",98674
"1014","1014April2013",293047
"1015","1015April2013",135276
"1016","1016April2013",126442
"1017","1017April2013",177836
"1018","1018April2013",266007
"1019","1019April2013",211170
"1020","1020April2013",235171
"1021","1021April2013",217493
"1022","1022April2013",163212
"1023","1023April2013",145848
"1024","1024April2013",144350
"1025","1025April2013",191849
"1026","1026April2013",226957
"1027","1027April2013",309030
"1028","1028April2013",101960
"1029","1029April2013",132096
"1030","1030April2013",84833
"1031","1031April2013",119486
"1032","1032April2013",209395
"1033","1033April2013",340099
"1034","1034April2013",152126
"1035","1035April2013",119591
"1036","1036April2013",114432
"1037","1037April2013",162285
"1038","1038April2013",145529
"1039","1039April2013",180541
"1040","1040April2013",207558
"1041","1041April2013",152743
"1042","1042April2013",98326
"1043","1043April2013",212828
"1044","1044April2013",161154
"1045","1045April2013",190844
"1046","1046April2013",188862
"1047","1047April2013",120749
"1048","1048April2013",151707
"1049","1049April2013",95545
"1050","1050April2013",159803
"1051","1051April2013",162791
"1052","1052April2013",172890
"1053","1053April2013",218856
"1054","1054April2013",137372
"1055","1055April2013",190738
"1056","1056April2013",73601
"1057","1057April2013",143893
"1058","1058April2013",164626
"1059","1059April2013",198590
"1060","1060April2013",169018
"1061","1061April2013",150893
"1062","1062April2013",163750
"1063","1063April2013",101599
"1064","1064April2013",223758
"1065","1065April2013",98218
"1066","1066April2013",271529
"1067","1067April2013",125916
"1068","1068April2013",106296
"1069","1069April2013",150078
"1070","1070April2013",165054
"1071","1071April2013",142576
"1072","1072April2013",162821
"1073","1073April2013",162361
"1074","1074April2013",110021
"1075","1075April2013",302054
"1076","1076April2013",77282
"1077","1077April2013",110605
"1078","1078April2013",140181
"1079","1079April2013",213664
"1080","1080April2013",245270
"1081","1081April2013",0
"1082","1082April2013",162174
"1083","1083April2013",108873
"1084","1084April2013",158307
"1085","1085April2013",185691
"1086","1086April2013",240021
"1087","1087April2013",149174
"1088","1088April2013",115235
"1089","1089April2013",245786
"1090","1090April2013",149044
"1091","1091April2013",189426
"1092","1092April2013",291733
"1093","1093April2013",185814
"1094","1094April2013",103682
"1095","1095April2013",116160
"1096","1096April2013",110767
"1097","1097April2013",271441
"1098","1098April2013",125487
"1099","1099April2013",209868
"1100","1100April2013",142391
"1101","1101April2013",236360
"1102","1102April2013",175420
"1103","1103April2013",106121
"1104","1104April2013",130538
"1105","1105April2013",87925
"1106","1106April2013",110478
"1107","1107April2013",154915
"1108","1108April2013",132135
"1109","1109April2013",118303
"1110","1110April2013",106745
"1111","1111April2013",131652
"1112","1112April2013",284870
"1113","1113April2013",148796
"1114","1114April2013",497336
"1115","1115April2013",126212
"1116","1April2014",115292
"1117","2April2014",122853
"1118","3April2014",162843
"1119","4April2014",231535
"1120","5April2014",114394
"1121","6April2014",133723
"1122","7April2014",221394
"1123","8April2014",132283
"1124","9April2014",156664
"1125","10April2014",134317
"1126","11April2014",202542
"1127","12April2014",186283
"1128","13April2014",132123
"1129","14April2014",137274
"1130","15April2014",164651
"1131","16April2014",195183
"1132","17April2014",156879
"1133","18April2014",157496
"1134","19April2014",160318
"1135","20April2014",178176
"1136","21April2014",137728
"1137","22April2014",108739
"1138","23April2014",138923
"1139","24April2014",220228
"1140","25April2014",262410
"1141","26April2014",166498
"1142","27April2014",231164
"1143","28April2014",140062
"1144","29April2014",182450
"1145","30April2014",120676
"1146","31April2014",146269
"1147","32April2014",107105
"1148","33April2014",205519
"1149","34April2014",198402
"1150","35April2014",229643
"1151","36April2014",227955
"1152","37April2014",169856
"1153","38April2014",151751
"1154","39April2014",127053
"1155","40April2014",125375
"1156","41April2014",142107
"1157","42April2014",249610
"1158","43April2014",172622
"1159","44April2014",141999
"1160","45April2014",129117
"1161","46April2014",134456
"1162","47April2014",177565
"1163","48April2014",104418
"1164","49April2014",182302
"1165","50April2014",101669
"1166","51April2014",165780
"1167","52April2014",163924
"1168","53April2014",131585
"1169","54April2014",198863
"1170","55April2014",121316
"1171","56April2014",177807
"1172","57April2014",295065
"1173","58April2014",158568
"1174","59April2014",137311
"1175","60April2014",205325
"1176","61April2014",119296
"1177","62April2014",163510
"1178","63April2014",175692
"1179","64April2014",261216
"1180","65April2014",129876
"1181","66April2014",151300
"1182","67April2014",195204
"1183","68April2014",195396
"1184","69April2014",231490
"1185","70April2014",165740
"1186","71April2014",222602
"1187","72April2014",112144
"1188","73April2014",114733
"1189","74April2014",156023
"1190","75April2014",150739
"1191","76April2014",220628
"1192","77April2014",193249
"1193","78April2014",96094
"1194","79April2014",135949
"1195","80April2014",186710
"1196","81April2014",169984
"1197","82April2014",227096
"1198","83April2014",95406
"1199","84April2014",317930
"1200","85April2014",222404
"1201","86April2014",124142
"1202","87April2014",154642
"1203","88April2014",149816
"1204","89April2014",146094
"1205","90April2014",210760
"1206","91April2014",168716
"1207","92April2014",144990
"1208","93April2014",149328
"1209","94April2014",171973
"1210","95April2014",204956
"1211","96April2014",127764
"1212","97April2014",167154
"1213","98April2014",123718
"1214","99April2014",126869
"1215","100April2014",195594
"1216","101April2014",186928
"1217","102April2014",185552
"1218","103April2014",116341
"1219","104April2014",254467
"1220","105April2014",114205
"1221","106April2014",209774
"1222","107April2014",180729
"1223","108April2014",274303
"1224","109April2014",159255
"1225","110April2014",110151
"1226","111April2014",170484
"1227","112April2014",151981
"1228","113April2014",195680
"1229","114April2014",136730
"1230","115April2014",180968
"1231","116April2014",177734
"1232","117April2014",97192
"1233","118April2014",196457
"1234","119April2014",150413
"1235","120April2014",174484
"1236","121April2014",109851
"1237","122April2014",190012
